대지위치,착공예정일,실착공일,사용승인일,위도,경도
경기도 광명시 가학동 265,20060414.0,20060414.0,20061123.0,37.4155732,126.858314
경기도 광명시 가학동 265,20060414.0,20060414.0,20061121.0,37.4155732,126.858314
경기도 광명시 가학동 336-5,20061010.0,20061010.0,20061227.0,37.4220567,126.8567533
경기도 광명시 가학동 493-1,20061115.0,20061115.0,20070104.0,37.4179288,126.8520894
경기도 광명시 가학동 496-1,20060331.0,20060330.0,20060524.0,37.4174945,126.851822
경기도 광명시 가학동 496-3,20061115.0,20061115.0,20070104.0,37.4173358,126.8518275
경기도 광명시 가학동 631,20061204.0,20061204.0,20080416.0,37.4145758,126.8496703
경기도 광명시 가학동 912-7,20060803.0,20060803.0,20061106.0,37.4087218,126.8545805
경기도 광명시 가학동 937-18,20060330.0,20060323.0,20060629.0,37.4069286,126.8613872
경기도 광명시 가학동 937-19,20060328.0,20060329.0,20060729.0,37.4071978,126.8616007
경기도 광명시 광명동 12-139,20060901.0,20060831.0,20070103.0,37.4858131,126.8595128
경기도 광명시 광명동 42-64,20060915.0,20060915.0,20061228.0,37.4736789,126.8581844
경기도 광명시 광명동 149-2,20060913.0,20060913.0,20070621.0,37.4784485,126.8584841
경기도 광명시 광명동 164-12,20060523.0,20060523.0,20060831.0,37.4807693,126.8489944
경기도 광명시 광명동 247-2,20060105.0,,20060523.0,37.4751169,126.847712
경기도 광명시 광명동 334-27,20061016.0,20061011.0,20070109.0,37.473147,126.8533388
경기도 광명시 광명동 346-48,20060804.0,20060804.0,20070509.0,37.4731326,126.8511552
경기도 광명시 광명동 419-25,20060412.0,20060413.0,20061018.0,37.4704223,126.8507588
경기도 광명시 광명동 575-15,20060426.0,20060417.0,20061130.0,37.462917,126.8520158
경기도 광명시 광명동 578,20060925.0,20060922.0,20070212.0,37.462979,126.8534006
경기도 광명시 노온사동 44,20060803.0,20060803.0,20061129.0,37.4569095,126.856213
경기도 광명시 노온사동 44,20060803.0,20060803.0,20061129.0,37.4569095,126.856213
경기도 광명시 노온사동 46-2,20060803.0,20060803.0,20061129.0,37.4547932,126.8486385
경기도 광명시 노온사동 46-2,20060803.0,20060803.0,20061129.0,37.4547932,126.8486385
경기도 광명시 노온사동 152-9,20060811.0,20060811.0,20061123.0,37.4524794,126.84826
경기도 광명시 노온사동 152-9,20060824.0,20060823.0,20061123.0,37.4524794,126.84826
경기도 광명시 노온사동 157-5,20060621.0,20060622.0,20061117.0,37.4522036,126.8501341
경기도 광명시 노온사동 157-17,20060413.0,20060413.0,20061106.0,37.4524305,126.850175
경기도 광명시 노온사동 158-2,20060707.0,20060707.0,20080805.0,37.4517669,126.8503439
경기도 광명시 노온사동 159-1,20061012.0,20061012.0,20070619.0,37.45150880000001,126.8503198
경기도 광명시 노온사동 159-2,20061012.0,20061012.0,20070312.0,37.4515641,126.8500737
경기도 광명시 노온사동 162,20061027.0,20061108.0,20070720.0,37.4513576,126.8503392
경기도 광명시 노온사동 212-2,20060226.0,20060226.0,20071212.0,37.4487517,126.8482411
경기도 광명시 노온사동 212-4,20061114.0,20061114.0,20070111.0,37.4489587,126.8478476
경기도 광명시 노온사동 212-36,20061114.0,20061114.0,20070111.0,37.4488729,126.8479496
경기도 광명시 노온사동 382-2,20060511.0,20060511.0,20060831.0,37.4421765,126.8439752
경기도 광명시 노온사동 382-2,20060511.0,20060511.0,20060831.0,37.4421765,126.8439752
경기도 광명시 노온사동 382-26,20061221.0,20061221.0,20070321.0,37.4418859,126.8430562
경기도 광명시 노온사동 435,20061101.0,20061101.0,20070201.0,37.443566,126.8497003
경기도 광명시 노온사동 435,20061101.0,20061101.0,20070201.0,37.443566,126.8497003
경기도 광명시 노온사동 435-5,20060516.0,20060516.0,20060712.0,37.4427398,126.8494914
경기도 광명시 노온사동 572-77,20060525.0,20060524.0,20060809.0,37.438146,126.8447188
경기도 광명시 노온사동 574-5,20060830.0,20060830.0,20061019.0,37.4367724,126.8444145
경기도 광명시 노온사동 574-5,20060830.0,20060830.0,20061019.0,37.4367724,126.8444145
경기도 광명시 노온사동 577-57,20060413.0,20060413.0,20060824.0,37.4344098,126.8460415
경기도 광명시 노온사동 577-75,20060926.0,20060926.0,20070119.0,37.4344051,126.8462027
경기도 광명시 노온사동 577-77,20060227.0,20060227.0,20100514.0,37.4344177,126.846374
경기도 광명시 노온사동 726-6,20061027.0,20061028.0,20070302.0,37.4291735,126.8459282
경기도 광명시 노온사동 778-6,20060804.0,20060804.0,20061220.0,37.4313332,126.8515923
경기도 광명시 노온사동 780,20060602.0,20060602.0,20060926.0,37.4318506,126.8523311
경기도 광명시 노온사동 780,20060603.0,20060602.0,20060926.0,37.4318506,126.8523311
